date,Gross domestic product,Private industries,"Agriculture, forestry, fishing, and hunting",Farms,"Forestry, fishing, and related activities",Mining,Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Manufacturing,Durable goods,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Nondurable goods,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Retail trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Transportation and warehousing,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,Information,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Finance, insurance, real estate, rental, and leasing",Finance and insurance,"Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Real estate and rental and leasing,Real estate,Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Professional and business services,"Professional, scientific, and technical services",Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,Administrative and support services,Waste management and remediation services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation and food services,Accommodation,Food services and drinking places,"Other services, except government",Government,Federal,General government,National defense,Nondefense,Government enterprises,State and local,Not allocated by industry1,Private goods-producing industries [1],Private services-producing industries [2],Information-communications-technology-producing industries 4,TTU,FIRE,Oth_Serv,GoodsTTU,Not allocated by industry<sup>1</sup>,Goods
2018-04-01,20150.5,17658.2,187.7,147.1,40.2,279.9,152.0,50.9,80.2,314.4,859.9,2201.8,1221.3,32.7,57.9,60.2,150.8,156.0,263.5,58.0,164.7,156.0,30.3,91.6,980.2,271.0,16.3,9.4,59.4,42.0,111.3,390.9,78.8,1174.4,1211.7,237.2,157.5,156.5,660.6,655.3,133.5,45.3,15.0,178.7,45.0,43.2,128.9,65.8,1060.3,248.6,95.0,480.3,236.6,4092.5,1471.1,618.4,278.9,573.8,0.6,2622.7,2398.3,1816.5,582.5,224.5,2565.8,1552.8,269.8,369.7,913.9,387.8,625.2,571.2,53.9,1757.8,250.0,1507.8,730.8,496.9,148.2,131.9,850.4,225.6,137.7,87.9,624.9,182.4,442.5,447.4,2481.2,773.0,707.0,407.6,299.4,66.0,1708.2,,3529.2,14128.7,,3355.8,5152.8,5620.100000000001,6885.0,4.3,3529.2
2018-07-01,20276.2,17789.1,184.4,144.6,39.8,276.5,149.8,50.1,79.5,305.2,865.3,2216.3,1226.2,33.3,58.3,57.4,151.1,156.5,265.4,56.7,166.5,158.9,30.6,92.5,989.8,273.6,16.3,9.4,59.0,41.9,117.3,390.1,81.5,1189.7,1230.4,243.9,158.6,159.7,668.3,657.8,134.8,45.1,14.1,174.6,48.2,44.1,129.6,67.7,1076.6,257.4,91.7,483.9,244.0,4121.4,1491.2,629.4,277.8,584.0,0.4,2631.1,2406.0,1823.7,583.1,225.1,2605.4,1570.4,271.4,382.6,917.5,401.0,634.2,580.6,53.7,1768.2,251.3,1516.9,738.5,497.2,148.5,132.7,846.8,223.2,135.5,87.7,623.6,175.1,448.5,447.7,2488.9,775.2,709.3,408.8,300.5,65.9,1713.7,,3542.4,14246.6,,3383.1000000000004,5198.0,5665.5,6925.5,-11.8,3542.4
2018-10-01,20304.9,17841.5,184.7,145.3,40.2,281.5,154.1,50.6,79.0,304.9,864.9,2244.9,1241.8,34.6,59.1,59.0,151.5,156.0,270.3,56.3,168.6,164.4,30.4,92.1,1002.9,272.6,16.2,9.3,60.5,42.0,133.0,386.8,81.6,1195.0,1217.1,250.6,157.6,161.2,648.0,657.5,129.1,44.3,13.9,175.9,50.5,42.0,132.5,69.4,1090.6,261.4,89.4,487.6,253.0,4083.3,1448.1,612.0,264.4,572.1,0.2,2637.4,2411.6,1831.6,580.7,225.8,2634.7,1584.5,269.1,388.6,928.3,405.1,645.2,591.5,53.8,1781.5,254.1,1527.4,748.1,498.5,146.1,134.9,855.9,221.5,133.0,88.6,634.4,179.3,455.0,449.0,2489.7,772.1,707.2,409.2,298.0,64.9,1717.7,,3576.2,14265.2,,3374.5,5173.9,5716.800000000001,6950.7,-39.5,3576.2
2019-01-01,20431.6,17957.9,174.0,133.7,40.1,303.4,175.1,49.0,80.4,298.4,877.3,2207.1,1240.7,34.3,59.9,60.9,150.5,157.1,270.7,54.9,167.3,166.5,29.8,89.1,966.6,265.7,16.1,9.2,60.2,40.8,130.1,368.0,79.7,1192.9,1233.8,256.3,157.5,155.9,664.2,652.3,127.5,43.2,13.6,172.5,56.6,37.0,133.1,69.2,1127.8,277.7,88.4,500.4,262.2,4129.4,1496.5,623.4,283.8,590.5,0.8,2633.9,2410.0,1839.3,571.0,223.7,2673.3,1611.4,268.4,402.3,942.9,419.3,643.2,589.8,53.6,1798.0,254.8,1543.2,763.9,498.5,144.9,136.3,851.3,218.1,130.7,87.4,633.2,178.1,454.9,443.8,2474.6,763.2,702.1,411.2,291.1,61.1,1711.6,,3564.1,14393.8,,3377.4000000000005,5257.2,5759.199999999998,6941.5,-18.6,3564.1
2019-04-01,20602.3,18111.8,173.0,132.2,40.5,312.0,184.1,51.0,77.5,309.6,881.5,2221.2,1244.1,34.3,60.6,63.7,149.8,155.8,273.8,55.0,168.6,163.9,29.4,89.5,977.2,265.9,16.1,9.4,61.7,40.7,140.9,362.8,81.8,1179.2,1243.9,257.0,157.6,156.3,673.1,656.0,130.5,43.0,13.1,176.3,54.1,35.0,132.8,71.6,1172.3,283.8,90.9,511.7,287.2,4156.2,1508.7,642.2,253.8,612.6,1.0,2648.3,2415.7,1843.8,572.1,232.7,2698.6,1631.2,269.4,405.7,958.5,422.0,646.0,592.3,53.8,1815.7,257.6,1558.2,771.8,502.5,146.0,138.4,856.0,219.2,130.6,88.6,636.7,178.0,458.7,445.2,2491.8,778.3,717.3,412.4,304.9,61.0,1713.6,,3589.5,14522.4,,3388.7000000000003,5328.5,5805.199999999999,6978.200000000001,-20.5,3589.5
2019-07-01,20843.3,18339.2,170.7,129.4,40.9,322.8,204.7,51.8,67.8,310.8,887.6,2240.0,1243.1,35.5,61.5,70.5,149.4,153.7,269.9,55.8,168.0,161.2,28.8,88.8,996.8,271.1,16.1,9.9,64.4,40.9,135.9,371.7,82.7,1206.0,1265.6,264.5,163.1,157.9,680.5,664.5,135.6,41.9,13.5,178.8,55.8,34.4,133.7,71.8,1200.3,289.9,90.5,524.2,297.3,4190.7,1515.3,658.7,236.1,620.2,0.9,2676.4,2430.5,1849.6,581.4,246.4,2733.6,1662.2,274.5,407.0,982.6,421.6,650.3,596.9,53.6,1830.6,258.8,1571.8,778.3,506.4,147.2,140.3,874.7,229.0,139.1,90.0,645.8,182.8,463.0,451.9,2504.2,781.6,721.4,414.1,307.3,60.3,1722.6,,3621.8,14717.2,,3446.8999999999996,5391.0,5879.300000000001,7068.7,-16.5,3621.8
2019-10-01,20985.4,18456.2,172.2,130.2,41.6,311.6,203.1,52.8,57.7,331.3,882.7,2231.0,1239.8,36.4,60.5,72.7,147.3,150.3,278.4,55.7,165.2,157.9,28.2,88.2,991.0,266.2,15.8,10.5,64.4,40.3,124.7,371.5,82.2,1214.7,1271.5,262.9,162.9,158.7,687.7,662.9,139.1,39.3,13.1,176.8,55.3,33.8,134.2,74.0,1210.4,294.5,90.0,519.6,308.0,4262.3,1572.2,681.3,255.8,634.7,0.5,2690.2,2440.7,1856.6,584.6,250.2,2743.6,1670.6,269.9,412.9,990.3,423.7,650.0,596.8,53.4,1837.4,257.5,1579.9,779.7,508.9,149.8,141.9,877.6,238.0,146.3,91.9,639.7,184.7,455.2,455.3,2526.6,787.6,724.1,416.5,307.6,63.4,1738.8,,3598.4,14856.3,,3480.4,5472.700000000001,5903.199999999999,7078.8,-3,3598.4
2020-01-01,20709.2,18182.8,180.5,135.4,43.1,325.0,219.1,55.3,55.8,326.4,870.1,2174.4,1211.6,37.5,58.4,77.6,145.1,144.6,276.5,55.8,153.3,153.2,27.9,83.8,962.4,269.3,15.6,10.4,65.8,38.6,97.2,375.8,79.9,1226.8,1239.3,235.6,169.4,162.9,671.4,658.8,137.6,38.6,14.0,175.5,53.2,33.4,136.1,75.0,1194.3,299.1,87.2,494.2,316.0,4199.5,1505.9,667.8,251.1,585.2,0.3,2694.9,2440.2,1863.2,577.4,255.8,2741.8,1674.2,261.2,427.9,989.7,424.5,643.9,591.3,52.8,1823.0,254.1,1569.0,769.6,504.8,152.8,141.7,801.2,216.2,134.6,81.9,584.7,174.9,410.6,437.6,2524.8,795.7,728.8,418.3,310.4,66.9,1728.8,,3546.1,14635.1,,3451.3,5393.8,5789.999999999999,6997.4,-23,3546.1
2020-04-01,19078.0,16649.1,160.8,121.1,39.7,302.9,218.3,54.7,44.0,331.0,826.2,1961.8,1054.8,34.4,56.3,66.9,123.6,128.6,269.7,50.4,88.9,128.8,25.1,82.5,908.0,241.7,13.0,8.9,65.8,32.2,90.0,385.3,69.9,1114.6,1155.4,226.7,173.5,152.1,603.0,537.4,43.4,34.2,11.7,162.7,35.5,31.4,138.4,74.1,1184.7,301.9,67.8,500.5,316.6,4171.6,1544.6,672.7,287.7,582.4,0.2,2627.0,2418.9,1870.8,547.2,206.3,2549.3,1576.2,247.6,424.4,910.7,418.7,558.3,510.0,48.3,1580.8,225.2,1355.5,614.4,473.5,145.7,119.5,443.3,101.2,63.0,38.3,342.0,83.0,257.1,355.2,2425.0,803.2,736.3,423.1,313.2,66.8,1623.1,,3248.3,13399.1,,3138.4,5356.3,4904.400000000001,6386.700000000001,-34.8,3248.3
2020-07-01,20558.9,18112.4,182.2,139.2,44.0,300.3,209.1,56.0,44.1,340.7,873.4,2190.8,1207.6,38.9,60.1,77.1,133.5,137.5,278.7,51.9,177.2,139.6,27.3,90.7,983.4,282.3,15.1,9.9,68.9,34.1,85.9,397.5,78.0,1245.1,1279.0,225.9,179.4,176.3,699.1,602.5,47.3,37.7,12.0,177.9,40.9,33.4,162.8,81.6,1255.2,320.3,80.2,508.2,349.2,4273.7,1559.6,701.5,266.6,590.5,0.2,2714.5,2465.5,1880.4,585.5,249.9,2713.4,1672.3,248.8,443.1,988.0,426.0,616.9,563.2,53.5,1813.2,237.3,1576.3,773.5,522.4,141.2,139.9,642.0,145.2,80.0,64.8,496.8,142.7,355.7,414.4,2452.0,813.8,746.0,423.4,322.6,67.7,1639.5,,3551.0,14560.4,,3467.3,5528.9,5564.199999999999,7018.3,-31.3,3551.0
2020-10-01,20791.9,18335.4,188.2,142.0,45.7,295.6,200.1,56.9,43.3,327.4,884.1,2234.8,1233.0,37.8,61.6,76.8,138.2,144.1,290.7,53.7,174.1,137.2,29.2,94.1,1002.4,292.4,16.1,9.6,70.4,35.8,80.4,405.9,79.6,1230.2,1251.9,215.6,173.7,169.9,694.1,619.0,55.7,38.9,14.4,177.8,44.5,33.0,158.5,87.6,1272.1,329.4,80.6,505.1,359.9,4346.1,1614.9,741.7,279.5,593.3,0.7,2731.1,2478.7,1890.2,589.0,253.3,2800.0,1706.2,259.5,456.3,998.0,456.8,639.9,585.7,54.3,1836.6,228.7,1608.6,803.8,526.8,142.0,137.8,654.2,165.0,100.0,65.1,489.3,126.1,361.6,412.0,2465.1,811.3,743.8,424.8,318.9,67.4,1654.8,,3607.4,14727.4,,3428.5,5618.200000000001,5680.699999999999,7035.9,-32.5,3607.4
2021-01-01,21082.1,18622.1,188.1,146.4,43.1,295.2,189.0,57.8,47.8,315.2,894.7,2264.7,1258.3,38.3,61.9,73.4,143.4,153.3,299.8,57.5,168.8,138.4,28.1,98.1,1007.9,293.1,16.3,10.4,66.1,37.4,94.9,401.4,81.4,1216.4,1304.0,233.7,176.3,180.6,713.0,665.7,93.2,39.7,14.7,183.7,41.8,37.1,163.2,91.0,1320.0,355.6,81.1,514.9,371.6,4379.0,1604.1,733.8,264.7,599.5,4.1,2775.3,2524.4,1902.1,623.5,251.4,2903.0,1777.0,276.3,482.9,1026.2,462.5,665.6,611.1,54.7,1809.6,233.7,1576.5,787.5,516.0,139.5,135.0,687.6,179.0,106.8,72.2,508.8,132.0,375.4,400.0,2469.1,809.3,747.2,427.2,320.0,62.3,1660.8,,3647.7,14972.4,,3501.3,5699.0,5772.0999999999985,7149.0,-42.6,3647.7
2021-04-01,21440.9,18970.3,186.4,144.2,41.5,280.7,166.9,54.8,59.2,318.6,902.1,2293.3,1267.7,34.3,61.1,68.5,135.9,158.5,307.8,56.9,171.9,155.6,28.7,94.3,1027.0,274.0,16.3,11.2,64.2,38.1,126.1,412.5,77.2,1204.8,1250.3,199.0,181.6,178.3,698.3,683.1,114.7,40.8,16.6,190.1,45.9,33.6,151.6,94.2,1375.3,372.6,88.0,523.4,394.8,4456.7,1629.5,741.6,271.1,594.0,15.1,2827.6,2567.2,1939.5,628.8,261.1,2999.7,1849.1,270.6,504.4,1085.4,482.0,672.0,615.5,56.6,1829.0,239.7,1589.7,798.3,514.7,140.4,137.9,803.5,191.3,106.1,84.5,611.8,173.3,439.0,418.1,2480.2,814.0,750.0,427.9,322.1,64.1,1667.1,,3668.2,15298.3,,3456.7999999999997,5832.0,6009.5,7125.0,-66.7,3668.2
2021-07-01,21617.8,19126.7,187.2,144.4,41.8,276.8,159.5,53.9,64.3,327.7,883.7,2288.3,1248.8,34.0,60.0,64.7,136.1,154.2,294.2,56.0,171.3,158.3,29.2,96.0,1039.7,286.3,16.1,11.6,64.9,37.6,121.0,419.2,76.3,1164.7,1193.3,166.0,178.5,180.4,687.4,700.8,128.2,39.8,18.8,191.0,53.5,33.4,147.5,96.8,1410.0,377.9,101.8,525.6,408.2,4520.3,1644.2,745.2,268.9,604.9,18.2,2876.9,2609.9,1958.1,653.8,267.7,3105.4,1930.5,281.0,525.7,1135.7,479.7,697.4,639.2,58.3,1851.0,246.7,1604.6,802.7,524.3,142.3,136.9,843.1,204.1,117.1,86.6,638.7,184.9,454.7,426.4,2498.4,815.3,750.3,426.7,323.6,65.1,1683.9,,3642.2,15479.9,,3386.5,5930.3,6163.099999999999,7028.7,-103.6,3642.2
2021-10-01,21988.7,19494.6,193.8,149.7,42.5,266.2,147.0,54.9,70.0,332.8,859.8,2352.9,1279.0,33.6,62.2,56.4,143.6,163.0,299.4,55.8,191.2,155.8,29.3,102.2,1073.4,298.1,15.6,12.0,62.2,37.3,121.7,442.5,77.4,1183.3,1207.3,159.0,179.6,173.4,719.4,716.0,140.3,41.3,20.2,196.1,56.6,33.0,144.6,95.6,1469.1,384.8,119.0,537.1,431.9,4631.4,1688.7,741.2,289.9,632.9,13.4,2943.4,2674.0,1977.7,700.5,270.0,3204.0,1982.2,280.5,540.8,1174.8,500.8,723.3,662.5,60.9,1879.7,250.2,1629.9,821.6,527.1,144.1,138.9,843.5,211.7,120.7,90.5,631.9,183.2,449.5,426.3,2500.6,812.5,750.6,425.8,324.9,62.1,1688.8,,3673.4,15816.9,,3439.3999999999996,6100.5,6277.0,7112.799999999999,-143.7,3673.4
2022-01-01,21932.7,19426.7,189.5,148.2,42.1,245.2,131.2,53.7,73.4,333.4,872.6,2305.7,1274.1,31.0,60.1,64.9,136.7,157.6,297.9,54.4,207.0,154.2,29.7,98.4,1033.1,300.4,15.3,11.3,62.1,35.0,103.4,434.4,73.2,1177.6,1169.6,156.6,174.3,173.8,687.4,695.9,136.5,41.8,16.9,180.0,58.5,31.9,147.8,95.5,1458.0,382.3,112.6,523.7,443.5,4649.5,1664.0,726.4,279.9,645.9,3.2,2987.4,2715.2,2011.8,707.5,272.9,3244.8,1995.7,282.7,553.6,1175.2,505.5,744.6,684.1,60.8,1913.7,255.0,1659.0,838.2,523.6,149.3,149.3,829.6,214.4,125.9,88.3,615.6,168.5,447.1,434.8,2513.4,817.1,751.7,425.8,325.9,65.6,1697.0,,3607.7,15817.1,,3376.5,6107.5,6333.1,6984.2,-195.4,3607.7
2022-04-01,21967.0,19453.2,188.6,146.7,40.9,236.6,126.3,51.3,74.5,329.8,837.2,2274.2,1272.9,31.4,61.3,67.0,134.4,151.4,295.5,53.0,221.9,152.0,28.9,97.5,1004.8,291.5,14.9,11.8,59.6,33.3,103.4,416.8,72.4,1159.6,1187.7,159.2,166.9,161.1,722.6,691.9,144.3,41.7,16.0,167.8,60.2,33.9,149.8,95.8,1481.9,393.9,119.0,519.0,454.1,4665.4,1654.7,703.8,295.3,655.3,1.0,3013.2,2742.1,2037.8,708.0,271.7,3277.9,2012.9,282.2,559.2,1188.0,525.1,743.1,682.0,61.3,1928.2,259.3,1669.2,841.1,524.4,152.7,152.1,867.2,229.3,135.6,93.7,638.8,176.7,462.1,438.4,2521.9,806.2,749.0,422.0,327.1,57.7,1716.5,,3527.6,15931.3,,3369.0,6147.299999999999,6415.0,6896.6,-236.8,3527.6
2022-07-01,22125.6,19604.7,189.6,146.3,42.0,252.9,136.9,51.3,81.0,320.1,806.0,2268.2,1258.9,34.7,57.8,72.0,129.9,148.1,289.8,49.8,215.8,154.8,27.1,97.1,1011.3,292.9,14.4,11.8,55.4,33.0,113.7,413.3,67.6,1175.1,1209.8,157.6,165.7,153.3,760.0,694.1,148.7,40.9,13.6,166.0,63.5,32.7,153.1,95.3,1511.2,397.2,118.7,516.9,483.6,4686.5,1656.7,673.6,317.9,679.4,0.6,3032.4,2757.2,2051.7,709.0,275.8,3327.1,2042.8,277.6,564.7,1218.4,534.1,753.6,694.9,59.2,1957.1,264.5,1692.9,858.0,531.5,152.9,152.1,882.6,240.8,146.1,95.0,643.6,184.3,459.6,438.7,2526.8,804.1,750.2,420.7,329.7,54.6,1723.5,,3515.9,16098.8,,3399.1,6197.7,6501.999999999999,6915.0,-248.6,3515.9
2022-10-01,22278.3,19762.4,191.5,147.7,43.0,285.2,162.7,50.8,83.8,325.5,806.3,2274.6,1257.6,36.7,56.0,81.2,127.9,148.1,286.8,48.7,203.2,164.3,25.5,94.4,1018.2,305.2,13.9,12.0,54.3,32.3,100.7,436.5,65.9,1184.8,1251.3,172.0,160.6,151.6,789.8,698.1,151.3,40.9,11.8,168.5,67.8,32.9,158.7,87.1,1534.4,423.0,114.4,514.9,488.1,4662.4,1612.1,644.9,317.1,668.7,0.6,3054.6,2776.7,2061.8,719.0,278.6,3369.4,2075.2,275.1,580.0,1241.2,540.0,758.0,700.1,58.7,1969.8,266.4,1703.7,869.4,529.1,152.6,154.5,875.6,244.8,148.5,96.6,633.3,182.2,451.5,436.4,2524.5,805.3,752.0,419.8,332.3,54.0,1720.0,,3566.3,16203.1,,3459.7,6196.799999999999,6546.600000000002,7026.0,-251.9,3566.3
2023-01-01,22439.6,19921.7,201.6,157.2,43.8,311.8,184.1,52.6,85.1,331.0,810.8,2224.4,1243.3,36.9,53.4,87.1,125.9,145.3,284.3,48.3,195.6,164.1,24.3,93.9,983.7,299.9,13.7,11.8,54.9,30.5,91.5,421.3,65.7,1176.1,1288.6,195.9,160.4,150.6,794.4,699.8,154.2,40.5,13.5,169.9,71.6,33.6,160.4,78.3,1558.3,431.5,112.6,521.7,499.1,4707.4,1631.4,668.3,311.0,662.4,1.0,3080.2,2792.2,2070.4,726.4,288.7,3379.4,2093.9,274.8,584.9,1256.0,534.7,754.6,697.4,58.0,2008.6,265.6,1743.4,909.2,530.7,152.8,154.7,895.4,248.7,154.7,94.9,649.0,191.8,458.1,426.3,2525.2,807.1,755.1,419.6,335.8,52.9,1719.0,,3565.1,16365.6,,3495.5,6265.7,6604.400000000001,7060.6,-235.4,3565.1
2023-04-01,22580.5,20058.6,195.8,150.8,44.8,356.7,226.8,52.5,89.2,367.0,819.0,2263.3,1262.5,36.4,51.8,80.3,121.1,144.8,289.1,49.2,210.2,181.0,23.7,97.1,1003.1,288.6,13.2,11.4,55.2,30.2,113.9,415.6,65.7,1154.6,1293.0,211.7,158.4,143.8,785.9,713.6,155.4,40.4,15.2,170.9,73.6,34.0,166.3,80.2,1589.9,434.3,114.1,522.8,526.5,4696.9,1605.7,649.8,306.6,659.2,1.2,3096.4,2801.8,2076.5,730.0,295.4,3393.9,2118.2,274.9,603.0,1265.7,532.2,748.0,692.8,56.3,2019.1,267.2,1752.3,917.7,531.2,153.1,154.7,888.3,247.4,153.2,94.9,643.4,187.4,456.6,415.6,2527.9,810.1,756.9,419.2,338.0,54.0,1718.6,,3646.0,16416.9,,3528.2,6286.799999999999,6601.9000000000015,7174.2,-238.8,3646.0
2023-07-01,22841.0,20308.7,191.9,146.8,45.2,371.0,240.1,54.0,88.1,336.4,842.3,2323.8,1270.0,39.0,51.8,86.6,121.8,146.4,288.8,48.3,206.4,179.6,23.8,98.4,1054.0,296.7,13.4,10.9,57.1,29.6,126.9,436.0,69.6,1151.0,1353.7,228.4,160.6,155.7,813.3,715.1,151.2,40.5,14.4,170.8,76.2,32.4,169.4,83.0,1650.0,446.9,119.6,535.1,557.0,4741.7,1629.7,669.2,298.7,665.4,1.7,3117.0,2813.4,2086.8,730.9,304.6,3401.5,2131.7,269.1,608.3,1281.9,539.3,737.4,683.2,55.4,2040.8,267.9,1773.4,932.3,534.6,153.9,157.4,900.0,247.0,152.3,95.4,655.1,191.4,464.4,406.8,2540.6,810.8,762.0,419.6,342.7,50.1,1730.7,,3739.3,16570.9,,3556.2000000000003,6391.7,6623.000000000001,7295.5,-239.8,3739.3
2023-10-01,23033.8,20479.3,190.8,144.5,46.5,372.0,247.5,52.8,81.8,348.6,852.2,2356.6,1281.6,41.5,51.3,92.1,123.3,149.8,289.9,49.2,198.5,182.2,23.7,98.5,1074.7,293.3,13.4,11.1,57.4,28.9,135.2,451.7,68.9,1146.5,1390.7,255.6,160.8,161.0,813.1,722.2,157.6,40.7,16.1,171.3,79.5,33.3,163.5,84.3,1668.0,451.3,118.7,535.9,571.6,4757.3,1633.0,673.4,320.5,650.1,1.1,3129.4,2829.4,2098.8,734.8,300.9,3423.9,2149.8,271.0,621.6,1287.3,545.6,736.5,682.4,55.3,2064.6,270.9,1794.1,949.0,536.5,154.7,159.4,896.2,243.1,148.8,94.8,654.8,195.3,460.8,409.5,2561.5,819.2,766.1,419.2,347.3,54.1,1743.1,,3782.4,16697.8,,3608.0,6425.3,6664.499999999999,7390.4,-244.6,3782.4
2024-01-01,23082.1,20513.1,201.3,153.2,47.2,361.5,235.8,51.6,85.3,348.3,863.2,2314.1,1241.8,37.6,49.0,82.0,118.4,146.4,286.3,49.8,201.7,168.2,23.8,97.5,1071.5,290.6,13.2,11.2,56.1,28.6,132.5,458.7,68.5,1142.1,1444.7,303.2,156.9,161.8,822.7,725.3,159.4,40.9,15.5,176.8,86.7,34.5,154.6,83.1,1674.5,457.7,112.4,530.3,584.9,4740.1,1610.5,662.8,317.3,643.9,1.0,3135.5,2835.3,2108.8,729.7,301.1,3434.2,2161.7,268.0,638.7,1290.0,552.3,730.1,674.4,56.4,2081.5,272.0,1810.1,955.5,539.2,155.9,164.7,893.7,241.6,145.4,96.4,653.7,198.8,456.7,408.2,2575.1,823.5,768.9,419.6,349.9,55.4,1752.4,,3755.9,16760.1,,3660.3999999999996,6414.6,6685.0999999999985,7416.299999999999,-258.1,3755.9
2024-04-01,23286.5,20708.7,209.9,161.9,47.6,362.5,240.3,50.0,84.0,353.8,870.0,2368.9,1259.2,36.2,49.5,89.6,117.8,148.1,287.1,50.0,207.3,177.2,23.8,95.7,1108.6,292.6,13.4,11.5,58.0,28.6,151.8,472.9,66.9,1144.8,1449.1,317.3,154.7,159.4,819.2,728.9,163.2,40.3,16.1,178.4,90.7,34.1,152.4,81.7,1691.7,463.1,115.0,526.1,599.0,4787.8,1634.5,675.0,315.6,655.6,1.0,3158.8,2853.6,2116.1,741.9,306.3,3451.3,2174.7,275.1,642.7,1290.7,550.6,735.2,680.7,55.6,2108.4,273.1,1835.9,969.6,544.7,158.5,168.3,897.8,250.6,154.2,97.1,649.7,192.7,458.0,407.4,2583.2,826.4,771.4,421.1,350.9,55.8,1757.6,,3826.1,16885.0,,3676.6,6479.5,6728.9,7502.7,-268.9,3826.1
2024-07-01,23478.6,20881.7,205.0,159.1,46.0,365.9,240.1,51.1,86.9,352.3,872.5,2389.0,1274.9,38.7,49.9,97.0,116.9,147.2,289.2,50.4,202.2,187.0,23.5,97.5,1113.1,299.7,13.3,11.7,56.5,28.7,144.7,483.3,65.1,1153.6,1496.0,337.4,160.3,166.3,834.4,736.2,167.0,39.8,16.0,175.4,93.5,34.8,154.0,85.2,1718.9,464.6,119.2,528.3,619.2,4795.6,1627.6,668.3,306.0,660.6,1.3,3174.2,2869.0,2125.8,747.9,306.3,3483.3,2199.5,272.2,650.7,1312.5,558.3,736.0,680.0,56.7,2133.1,276.4,1857.2,981.1,549.6,160.5,171.3,899.9,253.4,157.9,96.4,649.2,193.7,456.8,412.2,2600.3,831.1,775.4,422.2,353.9,56.4,1770.1,,3846.5,17038.1,,3738.0999999999995,6514.5,6785.5,7584.599999999999,-284.2,3846.5
2024-10-01,23586.5,20973.4,205.7,159.8,46.0,361.0,236.3,50.8,85.8,359.3,880.5,2373.4,1265.5,40.5,50.1,101.8,118.9,140.3,286.1,51.6,204.8,174.7,23.4,99.0,1107.0,303.4,13.7,11.6,56.5,28.7,131.0,488.9,65.0,1154.7,1488.2,331.2,160.9,163.8,833.8,747.2,159.9,39.7,16.8,191.3,93.0,34.6,152.7,86.3,1732.3,463.8,122.3,528.7,630.6,4830.6,1636.4,673.6,303.3,661.0,1.5,3200.8,2894.6,2134.2,767.7,307.1,3507.0,2218.0,269.1,660.8,1327.3,561.1,738.7,682.9,56.6,2155.1,280.0,1875.7,987.6,556.8,162.3,173.9,899.8,254.1,158.6,96.5,648.6,194.5,455.4,412.0,2616.5,833.9,781.0,423.4,358.3,53.9,1783.6,,3837.7,17139.1,,3749.3999999999996,6562.900000000001,6826.799999999998,7587.099999999999,-286.4,3837.7
2025-01-01,23548.2,20931.4,196.4,151.5,45.4,343.2,216.8,50.3,88.1,354.8,882.3,2337.7,1259.0,37.9,48.6,105.7,115.3,138.8,288.5,51.6,204.7,179.2,23.2,95.9,1077.7,302.5,13.6,11.7,54.8,28.5,128.2,464.4,65.3,1146.1,1471.9,319.2,150.9,163.3,840.5,735.3,167.9,38.2,15.4,181.5,95.5,35.0,151.4,81.0,1767.8,482.0,116.6,531.9,651.8,4868.4,1640.3,685.6,304.7,648.4,1.6,3235.6,2928.5,2143.2,797.1,307.8,3516.3,2234.2,264.9,680.1,1334.9,557.6,735.8,682.1,55.0,2174.0,277.6,1897.1,1004.2,560.2,163.0,175.4,883.9,254.2,159.3,95.9,633.0,192.4,442.3,401.5,2624.3,829.0,776.5,420.7,356.5,53.5,1796.4,,3779.5,17156.0,,3708.1000000000004,6636.2,6811.7,7487.6,-326.8,3779.5
